"s³owa"
"1" "Dane"
"2" "o"
"3" "gruntach"
"4" "wykazano"
"5" "wed³ug"
"6" "form"
"7" "u¿ytkowania."
"8" "Prezentowane"
"9" "informacje"
"10" "dotycz¹"
"11" "dzia³alnoœci"
"12" "rolniczej"
"13" "w"
"14" "zakresie"
"15" "produkcji"
"16" "roœlinnej"
"17" "i"
"18" "zwierzêcej."
"19" "Przez"
"20" "u¿ytkowanie"
"21" "rozumie"
"22" "siê"
"23" "faktyczne"
"24" "gospodarowanie"
"25" "na"
"26" "gruntach."
"27" "powierzchni"
"28" "zasiewów"
"29" "upraw"
"30" "poszczególnych"
"31" "ziemiop³odów"
"32" "uprawianych"
"33" "plonie"
"34" "g³ównym."
